utr,credit_amount,value_date,narration
1785974400y65,460455,2026-08-08,NEFT-RAZORPAY-1785974400y65
1785801600b66,282490,2026-08-06,NEFT-RAZORPAY-1785801600b66
1786406400d67,435444,2026-08-13,NEFT-RAZORPAY-1786406400d67
1786838400c68,279218,2026-08-18,NEFT-RAZORPAY-1786838400c68
1787270400c69,171292,2026-08-23,NEFT-RAZORPAY-1787270400c69
1786233600c70,220744,2026-08-11,NEFT-RAZORPAY-1786233600c70
1786579200b71,399393,2026-08-15,NEFT-RAZORPAY-1786579200b71
1786752000a72,261660,2026-08-17,NEFT-RAZORPAY-1786752000a72
1785542400orphan73,499174,2026-08-03,NEFT-UNKNOWN-1785542400orphan73
1785542400c74,228890,2026-08-13,NEFT-RAZORPAY-1785542400c74
1787184000d75,161717,2026-08-22,NEFT-RAZORPAY-1787184000d75
1785542400c76,247882,2026-08-03,NEFT-RAZORPAY-1785542400c76
1787184000a77,322245,2026-08-22,NEFT-RAZORPAY-1787184000a77
1785715200d78,377852,2026-08-05,NEFT-RAZORPAY-1785715200d78
1786233600c79,242888,2026-08-11,NEFT-RAZORPAY-1786233600c79
1786579200z80,191263,2026-08-15,NEFT-RAZORPAY-1786579200z80
