settlement_id,payment_id,order_id,amount,fee,tax,tds,net_amount,settled_at,utr,method
setl_300028W,pay_100028F,order_200028L,299974,5999,1080,3000,289895,2026-08-19,1787077800x28,upi
setl_300029X,pay_100029A,order_200029U,85924,1718,309,859,83038,2026-08-06,1785954600x29,card
setl_300030X,pay_100030D,order_200030S,179087,3582,645,1791,173069,2026-08-19,1787077800x30,card
setl_500030DUP,pay_100030D,order_200030S,179087,3582,645,1791,173069,2026-08-19,1787077800x30,card
setl_300031C,pay_100031K,order_200031M,346341,6927,1247,3463,334704,2026-08-19,1787077800x31,netbanking
setl_300032B,pay_100032E,order_200032P,189258,3785,681,1893,182899,2026-08-08,1786127400d32,upi
setl_300033B,pay_100033E,order_200033T,54883,1098,198,549,53038,2026-08-03,1785695400d33,card
setl_300034Z,pay_100034B,order_200034U,189041,3781,681,1890,182689,2026-08-17,1786905000b34,netbanking
setl_300035A,pay_100035D,order_200035R,279734,5595,1007,2797,270335,2026-08-06,1785954600z35,netbanking
setl_300036W,pay_100036K,order_200036U,206960,6623,745,2070,197522,2026-08-18,1786991400y36,card
setl_300037X,pay_100037C,order_200037Q,439240,8785,1581,4392,424482,2026-08-04,1785781800x37,upi
setl_300038F,pay_100038E,order_200038Q,426235,8525,1534,4262,411914,2026-08-07,1786041000c38,upi
setl_300040C,pay_100040A,order_200040M,73114,1462,263,731,70658,2026-08-09,1786213800a40,netbanking
setl_300041Y,pay_100041C,order_200041Q,339239,6785,1221,3392,327841,2026-08-15,1786732200y41,wallet
setl_300042X,pay_100042J,order_200042L,412293,8246,1484,4123,398440,2026-08-03,1785695400b42,card
setl_300043E,pay_100043F,order_200043V,275332,5507,991,2753,266081,2026-08-05,1785868200b43,card
setl_300044W,pay_100044E,order_200044R,160140,3203,577,1601,154759,2026-08-12,1786473000y44,upi
setl_300045E,pay_100045B,order_200045R,375405,7508,1351,3754,362792,2026-08-14,1786645800y45,upi
setl_300046Y,pay_100046D,order_200046N,62995,1260,227,630,60878,2026-08-14,1786645800b46,netbanking
setl_300047A,pay_100047G,order_200047P,462811,9256,1666,4628,447261,2026-08-06,1785954600y47,card
setl_300048D,pay_100048G,order_200048L,154633,3093,557,1546,149437,2026-08-08,1786127400z48,wallet
setl_300049Z,pay_100049F,order_200049Q,62406,1248,225,624,60309,2026-08-08,1786127400y49,upi
setl_300050A,pay_100050G,order_200050R,455445,9109,1640,4554,440142,2026-08-03,1785695400c50,netbanking
setl_300051E,pay_100051J,order_200051S,64470,1289,232,645,62304,2026-08-11,1786386600a51,netbanking
setl_300052A,pay_100052C,order_200052V,106834,5342,385,1068,100039,2026-08-02,1785609000x52,wallet
setl_300053C,pay_100053F,order_200053R,318132,6363,1145,3181,307443,2026-08-20,1787164200a53,wallet
setl_300054A,pay_100054K,order_200054P,421607,8432,1518,4216,407441,2026-08-02,1785609000d54,card
setl_300055Z,pay_100055J,order_200055U,276124,5522,994,2761,266847,2026-08-12,1786473000a55,netbanking
setl_300056X,pay_100056K,order_200056R,315878,6318,1137,3159,305264,2026-08-10,1786300200c56,wallet
setl_300057A,pay_100057F,order_200057S,116735,2335,420,1167,112813,2026-08-18,1786991400b57,wallet
setl_300058F,pay_100058G,order_200058N,207784,4156,748,2078,200802,2026-08-19,1787077800d58,card
setl_300059Z,pay_100059E,order_200059Q,461963,9239,1663,4620,446441,2026-08-14,1786645800x59,netbanking
setl_300060D,pay_100060H,order_200060T,318002,6360,1145,3180,307317,2026-08-07,1786041000d60,upi
setl_300061E,pay_100061B,order_200061Q,374671,7493,1349,3747,362082,2026-08-21,1787250600c61,card
setl_300062Z,pay_100062D,order_200062Q,127255,2545,458,1273,122979,2026-08-07,1786041000a62,card
setl_300063F,pay_100063D,order_200063T,288769,5775,1040,2888,279066,2026-08-03,1785695400d63,upi
setl_300064C,pay_100064G,order_200064T,127369,2547,458,1274,123090,2026-08-08,1786127400y64,card
setl_300065Z,pay_100065B,order_200065S,471585,9432,1698,4716,455739,2026-08-06,1785954600y65,wallet
setl_300066Z,pay_100066A,order_200066U,289317,5786,1041,2893,279597,2026-08-04,1785781800b66,wallet
setl_300067F,pay_100067J,order_200067U,445968,8919,1605,4460,430984,2026-08-11,1786386600d67,wallet
setl_300068Y,pay_100068J,order_200068T,285966,5719,1029,2860,276358,2026-08-16,1786818600c68,upi
setl_300070X,pay_100070E,order_200070T,172942,3459,623,1729,167131,2026-08-10,1786300200c70,netbanking
setl_300071X,pay_100071F,order_200071U,129078,2582,465,1291,124740,2026-08-05,1785868200b71,wallet
setl_300072X,pay_100072C,order_200072P,263699,5274,949,2637,254839,2026-08-14,1786645800c72,wallet
setl_300073C,pay_100073A,order_200073P,453594,9072,1633,4536,438353,2026-08-13,1786559400x73,card
setl_300074D,pay_100074K,order_200074S,234422,4688,844,2344,226546,2026-08-01,1785522600c74,wallet
setl_300075E,pay_100075G,order_200075U,165625,3312,596,1656,160061,2026-08-20,1787164200d75,upi
setl_300076D,pay_100076E,order_200076S,253873,5077,914,2539,245343,2026-08-01,1785522600c76,wallet
setl_300077Y,pay_100077C,order_200077T,330034,6601,1188,3300,318945,2026-08-20,1787164200a77,wallet
setl_300078W,pay_100078K,order_200078V,386985,7740,1393,11610,366242,2026-08-03,1785695400d78,upi
setl_300079W,pay_100079H,order_200079N,248759,4975,896,2488,240400,2026-08-09,1786213800c79,upi
setl_300080B,pay_100080H,order_200080R,195886,3918,705,1959,189304,2026-08-13,1786559400z80,wallet
setl_300081D,pay_100081E,order_200081M,442704,8854,1594,4427,427829,2026-08-01,1785522600x81,card
setl_300082X,pay_100082F,order_200082P,71106,1422,256,711,68717,2026-08-21,1787250600z82,card
setl_300083W,pay_100083D,order_200083P,129892,2598,468,1299,125527,2026-08-20,1787164200b83,upi
setl_300084F,pay_100084H,order_200084M,293811,5876,1058,2938,283939,2026-08-07,1786041000y84,netbanking
